Date,Close,Volume,tvalue
2017.06.14,307.95,110673,5147173
2017.06.15,306.69,94314,4552634
2017.06.16,306.79,84859,4514655
2017.06.19,308.61,87142,4239395
2017.06.20,309.31,112857,5360335
2017.06.21,307.52,99883,5152106
2017.06.22,309.47,85778,5064646
2017.06.23,310.26,74947,4355241
2017.06.26,311.89,70897,4086737
2017.06.27,312.12,79917,4372383
2017.06.28,310.84,88500,4786992
2017.06.29,312.56,101940,4389469
2017.06.30,311.76,72533,4147695
2017.07.03,312.39,71154,3869036
2017.07.04,310.46,82452,3765152
2017.07.05,311.77,66864,3721773
2017.07.06,311.88,72210,3944468
2017.07.07,310.66,78491,4064285
2017.07.10,311.46,77977,3991543
2017.07.11,313.59,85098,3938865
2017.07.12,313.58,85074,3918399
2017.07.13,316.35,94087,5055780
2017.07.14,317.35,73860,4024403
2017.07.17,318.52,73992,3857050
2017.07.18,318.65,77645,3519637
2017.07.19,318.91,75661,4034214
2017.07.20,320.61,78199,4171437
2017.07.21,321.79,79954,4112446
2017.07.24,322.01,70757,3607343
2017.07.25,320.15,81455,4286761
2017.07.26,319.46,95786,5202598
2017.07.27,320.51,74435,4224515
2017.07.28,314.13,98613,5669865
2017.07.31,314.6,81684,4305553
2017.08.01,317.04,80790,4239764
2017.08.02,317.69,92976,4117533
2017.08.03,312.29,111336,5251811
2017.08.04,313.46,78014,4034308
2017.08.07,313.96,66932,3489657
2017.08.08,313.4,70488,3608198
2017.08.09,309.52,72781,3749659
2017.08.10,308.37,100917,5092502
2017.08.11,302.72,94880,5046890
2017.08.14,304.93,67220,3717511
2017.08.16,307.16,88517,4968519
2017.08.17,309.02,72184,3502769
2017.08.18,308.39,74890,3240409
2017.08.21,308.14,61462,2932011
2017.08.22,309.34,61677,2889331
2017.08.23,309.71,61798,3066413
2017.08.24,310.73,69925,3609885
2017.08.25,311.21,72781,3572678
2017.08.28,309.53,63203,3138816
2017.08.29,308.64,63031,3363350
2017.08.30,309.65,58210,3325871
2017.08.31,308.28,92973,4152440
2017.09.01,307.78,74974,3732229
2017.09.04,304.19,65781,3349646
2017.09.05,304.06,73861,3693297
2017.09.06,303.18,90025,4251550
2017.09.07,306.97,79007,3791390
2017.09.08,307.43,67932,3685761
2017.09.11,309.83,78298,3892279
2017.09.12,310.42,68842,3637794
2017.09.13,310,85433,4517572
2017.09.14,312.52,103700,5087260
2017.09.15,313.69,89359,5005428
2017.09.18,318.93,76596,4269744
2017.09.19,318.51,87452,4372212
2017.09.20,318.48,91351,4638128
2017.09.21,318.25,88388,4329000
2017.09.22,316.71,87735,4974462
2017.09.25,316.4,76134,3899010
2017.09.26,314.29,84181,4894209
2017.09.27,313.82,63517,3636741
2017.09.28,313.85,69121,3893729
2017.09.29,316.27,62109,3821664
2017.10.10,322.49,97172,6467141
2017.10.11,326.12,82245,4919593
2017.10.12,328.11,97733,5438655
2017.10.13,327.35,100173,5936175
2017.10.16,327.82,84818,5168013
2017.10.17,328.51,75949,4390566
2017.10.18,328.4,74808,4775166
2017.10.19,326.47,88983,5742609
2017.10.20,328.89,98613,4756337
2017.10.23,329.45,74400,3918137
2017.10.24,328.96,69688,3752409
2017.10.25,329.31,83264,4036281
2017.10.26,326.99,98700,5762589
2017.10.27,329.23,89101,5117663
2017.10.30,330.38,89513,5660922
2017.10.31,333.57,96584,6171810
2017.11.01,338.76,92378,6113592
2017.11.02,337.53,85598,4669593
2017.11.03,338.83,75009,4257826
2017.11.06,337.4,77201,4332047
2017.11.07,336.76,90916,4388030
2017.11.08,337.8,103218,4471472
2017.11.09,337.14,108089,5684512
2017.11.10,335.96,84146,4201546
2017.11.13,334.33,90165,4884795
2017.11.14,333.62,91731,4453311
2017.11.15,332.17,111161,5538263
2017.11.16,334.36,81496,4249848
2017.11.17,334.18,91642,4982609
2017.11.20,332.92,76211,4311847
2017.11.21,333.51,99751,4868965
2017.11.22,335.49,110530,5104732
2017.11.23,334.51,70185,3479238
2017.11.24,335.44,72344,3174741
2017.11.27,329.53,90292,5003643
2017.11.28,330.99,82802,4637760
2017.11.29,330.68,66746,3806258
2017.11.30,325.25,118365,7579721
2017.12.01,324.78,80048,4319766
2017.12.04,328.77,89516,4469234
2017.12.05,329.61,95781,4217071
2017.12.06,324.52,128222,4633013
2017.12.07,323.59,127305,4762526
2017.12.08,324.68,123268,3994189
2017.12.11,325.09,89657,3656016
2017.12.12,324.07,88687,3834995
2017.12.13,326.18,89459,4106919
2017.12.14,324.74,132142,7131141
2017.12.15,326.23,124923,4688438
2017.12.18,326.6,102642,3518007
2017.12.19,326.76,84995,4067793
2017.12.20,325.79,65194,3618925
2017.12.21,319.72,85390,4418300
2017.12.22,321.21,74366,3541310
2017.12.26,318.89,86496,4660803
2017.12.27,320.25,73666,3979280
2017.12.28,324.74,66762,3323000
2018.01.02,326,70198,3652903
2018.01.03,327.13,109181,4644513
2018.01.04,324.58,105683,5612328
2018.01.05,328.97,95570,4813198
2018.01.08,331.28,87753,5038475
2018.01.09,330.25,100083,5713767
2018.01.10,327.61,139401,6828262
2018.01.11,325.67,99671,5820935
2018.01.12,326.72,139560,7101653
2018.01.15,327.39,97625,4551427
2018.01.16,330.02,106649,4849158
2018.01.17,329.19,93940,4798876
2018.01.18,329.13,92963,5003652
2018.01.19,329.52,92631,4606766
2018.01.22,326.27,78433,4485370
2018.01.23,330.93,101685,5061408
2018.01.24,330.91,88696,4872331
2018.01.25,334.08,120435,5537793
2018.01.26,335.38,111304,5808219
2018.01.29,338.05,120240,5852413
2018.01.30,333.4,107992,5818833
2018.01.31,333.38,112492,8795798
